occupation_code_1970,occupation_label,major_group,subgroup
621,"Filers, polishers, sanders, and buffers","Operatives, Except Transport",
622,"Furnacemen, smeltermen, and pourers","Operatives, Except Transport",
623,Garage workers and gas station attendants,"Operatives, Except Transport",
624,"Graders and sorters, manufacturing","Operatives, Except Transport",
625,"Produce graders and packers, except factory and farm","Operatives, Except Transport",
626,"Heaters, metal","Operatives, Except Transport",
630,"Laundry and dry cleaning operatives, n.e.c.","Operatives, Except Transport",
631,"Meat cutters and butchers, except manufacturing","Operatives, Except Transport",
633,"Meat cutters and butchers, manufacturing","Operatives, Except Transport",
634,"Meat wrappers, retail trade","Operatives, Except Transport",
635,Metal platers,"Operatives, Except Transport",
636,Milliners,"Operatives, Except Transport",
640,"Mine operatives, n.e.c.","Operatives, Except Transport",
641,Mixing operatives,"Operatives, Except Transport",
642,"Oilers and greasers, except auto","Operatives, Except Transport",
643,"Packers and wrappers, except meat and produce","Operatives, Except Transport",
644,"Painters, manufactured articles","Operatives, Except Transport",
645,Photographic process workers,"Operatives, Except Transport",
650,Drill press operatives,"Operatives, Except Transport",Precision machine operatives
651,Grinding machine operatives,"Operatives, Except Transport",Precision machine operatives
652,Lathe and milling machine operatives,"Operatives, Except Transport",Precision machine operatives
653,"Precision machine operatives, n.e.c.","Operatives, Except Transport",Precision machine operatives
656,Punch and stamping press operatives,"Operatives, Except Transport",Precision machine operatives
660,Riveters and fasteners,"Operatives, Except Transport",Precision machine operatives
661,Sailors and deckhands,"Operatives, Except Transport",Precision machine operatives
662,Sawyers,"Operatives, Except Transport",Precision machine operatives
663,Sewers and stitchers,"Operatives, Except Transport",Precision machine operatives
664,Shoemaking machine operatives,"Operatives, Except Transport",Precision machine operatives
665,Solderers,"Operatives, Except Transport",Precision machine operatives
666,Stationary firemen,"Operatives, Except Transport",Precision machine operatives
670,"Carding, lapping, and combing operatives","Operatives, Except Transport",Textile operatives
671,"Knitters, loopers, and toppers","Operatives, Except Transport",Textile operatives
672,"Spinners, twisters, and winders","Operatives, Except Transport",Textile operatives
673,Weavers,"Operatives, Except Transport",Textile operatives
674,"Textile operatives, n.e.c.","Operatives, Except Transport",Textile operatives
680,Welders and flame-cutters,"Operatives, Except Transport",Textile operatives
681,"Winding operatives, n.e.c.","Operatives, Except Transport",Textile operatives
690,Miscellaneous machine operatives,"Operatives, Except Transport",Textile operatives
692,"Machine operatives, n.s.","Operatives, Except Transport",Textile operatives
694,Miscellaneous operatives,"Operatives, Except Transport",Textile operatives
695,"Operatives, n.s.","Operatives, Except Transport",Textile operatives
